names,owner,private,fork,archived,created_at,fork_count,open_issues,stargazers_count,watchers_count,stars_url,contributors_url,commits_url,downloaded_at
irods_testing_provisioner_vsphere,irods,FALSE,FALSE,FALSE,2015-06-04T22:41:43Z,0,0,0,0,https://api.github.com/repos/irods/irods_testing_provisioner_vsphere/stargazers,https://api.github.com/repos/irods/irods_testing_provisioner_vsphere/contributors,https://api.github.com/repos/irods/irods_testing_provisioner_vsphere/commits,"05 June, 2023"
irods_rule_engine_plugin_python,irods,FALSE,FALSE,FALSE,2015-06-08T15:55:22Z,13,26,9,9,https://api.github.com/repos/irods/irods_rule_engine_plugin_python/stargazers,https://api.github.com/repos/irods/irods_rule_engine_plugin_python/contributors,https://api.github.com/repos/irods/irods_rule_engine_plugin_python/commits,"05 June, 2023"
deprecated_irods_testing_client_python,irods,FALSE,FALSE,FALSE,2015-07-10T21:01:59Z,0,0,0,0,https://api.github.com/repos/irods/deprecated_irods_testing_client_python/stargazers,https://api.github.com/repos/irods/deprecated_irods_testing_client_python/contributors,https://api.github.com/repos/irods/deprecated_irods_testing_client_python/commits,"05 June, 2023"
irods_client_library_r_rest,irods,FALSE,FALSE,FALSE,2015-08-25T19:10:29Z,1,4,7,7,https://api.github.com/repos/irods/irods_client_library_r_rest/stargazers,https://api.github.com/repos/irods/irods_client_library_r_rest/contributors,https://api.github.com/repos/irods/irods_client_library_r_rest/commits,"05 June, 2023"
CMake,irods,FALSE,TRUE,FALSE,2015-10-02T14:09:26Z,0,0,0,0,https://api.github.com/repos/irods/CMake/stargazers,https://api.github.com/repos/irods/CMake/contributors,https://api.github.com/repos/irods/CMake/commits,"05 June, 2023"
libarchive,irods,FALSE,TRUE,FALSE,2015-10-02T14:10:21Z,0,0,0,0,https://api.github.com/repos/irods/libarchive/stargazers,https://api.github.com/repos/irods/libarchive/contributors,https://api.github.com/repos/irods/libarchive/commits,"05 June, 2023"
jansson,irods,FALSE,TRUE,FALSE,2015-10-02T14:11:08Z,0,0,0,0,https://api.github.com/repos/irods/jansson/stargazers,https://api.github.com/repos/irods/jansson/contributors,https://api.github.com/repos/irods/jansson/commits,"05 June, 2023"
boost,irods,FALSE,TRUE,FALSE,2015-10-02T14:11:41Z,0,0,0,0,https://api.github.com/repos/irods/boost/stargazers,https://api.github.com/repos/irods/boost/contributors,https://api.github.com/repos/irods/boost/commits,"05 June, 2023"
hdf5,irods,FALSE,TRUE,FALSE,2015-10-02T14:14:34Z,0,0,0,0,https://api.github.com/repos/irods/hdf5/stargazers,https://api.github.com/repos/irods/hdf5/contributors,https://api.github.com/repos/irods/hdf5/commits,"05 June, 2023"
netcdf-c,irods,FALSE,TRUE,FALSE,2015-10-02T14:15:14Z,0,0,0,0,https://api.github.com/repos/irods/netcdf-c/stargazers,https://api.github.com/repos/irods/netcdf-c/contributors,https://api.github.com/repos/irods/netcdf-c/commits,"05 June, 2023"
fpm,irods,FALSE,TRUE,FALSE,2015-10-02T14:19:52Z,0,0,0,0,https://api.github.com/repos/irods/fpm/stargazers,https://api.github.com/repos/irods/fpm/contributors,https://api.github.com/repos/irods/fpm/commits,"05 June, 2023"
prm,irods,FALSE,TRUE,FALSE,2015-10-02T14:20:06Z,0,0,0,0,https://api.github.com/repos/irods/prm/stargazers,https://api.github.com/repos/irods/prm/contributors,https://api.github.com/repos/irods/prm/commits,"05 June, 2023"
avro,irods,FALSE,TRUE,FALSE,2015-10-02T14:20:23Z,2,47,0,0,https://api.github.com/repos/irods/avro/stargazers,https://api.github.com/repos/irods/avro/contributors,https://api.github.com/repos/irods/avro/commits,"05 June, 2023"
libzmq,irods,FALSE,TRUE,FALSE,2015-10-02T14:21:05Z,0,0,0,0,https://api.github.com/repos/irods/libzmq/stargazers,https://api.github.com/repos/irods/libzmq/contributors,https://api.github.com/repos/irods/libzmq/commits,"05 June, 2023"
cppzmq,irods,FALSE,TRUE,FALSE,2015-10-02T14:21:25Z,0,0,0,0,https://api.github.com/repos/irods/cppzmq/stargazers,https://api.github.com/repos/irods/cppzmq/contributors,https://api.github.com/repos/irods/cppzmq/commits,"05 June, 2023"
pyodbc,irods,FALSE,TRUE,FALSE,2015-10-02T14:22:30Z,0,0,0,0,https://api.github.com/repos/irods/pyodbc/stargazers,https://api.github.com/repos/irods/pyodbc/contributors,https://api.github.com/repos/irods/pyodbc/commits,"05 June, 2023"
clang,irods,FALSE,TRUE,FALSE,2015-10-02T20:18:19Z,0,0,0,0,https://api.github.com/repos/irods/clang/stargazers,https://api.github.com/repos/irods/clang/contributors,https://api.github.com/repos/irods/clang/commits,"05 June, 2023"
externals,irods,FALSE,FALSE,FALSE,2015-10-02T20:22:40Z,19,18,2,2,https://api.github.com/repos/irods/externals/stargazers,https://api.github.com/repos/irods/externals/contributors,https://api.github.com/repos/irods/externals/commits,"05 June, 2023"
llvm,irods,FALSE,TRUE,FALSE,2015-10-02T20:34:39Z,0,0,0,0,https://api.github.com/repos/irods/llvm/stargazers,https://api.github.com/repos/irods/llvm/contributors,https://api.github.com/repos/irods/llvm/commits,"05 June, 2023"
compiler-rt,irods,FALSE,TRUE,FALSE,2015-10-02T20:35:13Z,0,0,0,0,https://api.github.com/repos/irods/compiler-rt/stargazers,https://api.github.com/repos/irods/compiler-rt/contributors,https://api.github.com/repos/irods/compiler-rt/commits,"05 June, 2023"
libcxx,irods,FALSE,TRUE,FALSE,2015-10-02T20:35:17Z,0,0,0,0,https://api.github.com/repos/irods/libcxx/stargazers,https://api.github.com/repos/irods/libcxx/contributors,https://api.github.com/repos/irods/libcxx/commits,"05 June, 2023"
libcxxabi,irods,FALSE,TRUE,FALSE,2015-10-02T20:35:20Z,0,0,0,0,https://api.github.com/repos/irods/libcxxabi/stargazers,https://api.github.com/repos/irods/libcxxabi/contributors,https://api.github.com/repos/irods/libcxxabi/commits,"05 June, 2023"
clang-tools-extra,irods,FALSE,TRUE,FALSE,2015-10-02T20:38:42Z,0,0,0,0,https://api.github.com/repos/irods/clang-tools-extra/stargazers,https://api.github.com/repos/irods/clang-tools-extra/contributors,https://api.github.com/repos/irods/clang-tools-extra/commits,"05 June, 2023"
capnproto,irods,FALSE,TRUE,FALSE,2015-10-06T15:38:58Z,0,0,0,0,https://api.github.com/repos/irods/capnproto/stargazers,https://api.github.com/repos/irods/capnproto/contributors,https://api.github.com/repos/irods/capnproto/commits,"05 June, 2023"
irods_testing_plugins,irods,FALSE,FALSE,FALSE,2015-10-06T20:38:17Z,1,0,0,0,https://api.github.com/repos/irods/irods_testing_plugins/stargazers,https://api.github.com/repos/irods/irods_testing_plugins/contributors,https://api.github.com/repos/irods/irods_testing_plugins/commits,"05 June, 2023"
cpython,irods,FALSE,TRUE,FALSE,2015-10-26T13:24:21Z,0,0,0,0,https://api.github.com/repos/irods/cpython/stargazers,https://api.github.com/repos/irods/cpython/contributors,https://api.github.com/repos/irods/cpython/commits,"05 June, 2023"
zeromq4-1,irods,FALSE,TRUE,FALSE,2015-10-28T02:03:59Z,0,0,0,0,https://api.github.com/repos/irods/zeromq4-1/stargazers,https://api.github.com/repos/irods/zeromq4-1/contributors,https://api.github.com/repos/irods/zeromq4-1/commits,"05 June, 2023"
libsodium,irods,FALSE,TRUE,FALSE,2015-10-28T02:07:02Z,0,0,0,0,https://api.github.com/repos/irods/libsodium/stargazers,https://api.github.com/repos/irods/libsodium/contributors,https://api.github.com/repos/irods/libsodium/commits,"05 June, 2023"
autoconf,irods,FALSE,FALSE,FALSE,2015-11-04T19:22:26Z,2,1,3,3,https://api.github.com/repos/irods/autoconf/stargazers,https://api.github.com/repos/irods/autoconf/contributors,https://api.github.com/repos/irods/autoconf/commits,"05 June, 2023"
epm,irods,FALSE,FALSE,FALSE,2015-11-25T13:39:48Z,0,0,0,0,https://api.github.com/repos/irods/epm/stargazers,https://api.github.com/repos/irods/epm/contributors,https://api.github.com/repos/irods/epm/commits,"05 June, 2023"
irods_rule_engine_plugin_javascript,irods,FALSE,FALSE,FALSE,2016-01-15T21:28:18Z,1,0,0,0,https://api.github.com/repos/irods/irods_rule_engine_plugin_javascript/stargazers,https://api.github.com/repos/irods/irods_rule_engine_plugin_javascript/contributors,https://api.github.com/repos/irods/irods_rule_engine_plugin_javascript/commits,"05 June, 2023"
irods_build_tools,irods,FALSE,FALSE,FALSE,2016-01-28T20:21:08Z,0,0,0,0,https://api.github.com/repos/irods/irods_build_tools/stargazers,https://api.github.com/repos/irods/irods_build_tools/contributors,https://api.github.com/repos/irods/irods_build_tools/commits,"05 June, 2023"
renci-irods-repository,irods,FALSE,FALSE,FALSE,2016-03-18T20:37:57Z,0,0,0,0,https://api.github.com/repos/irods/renci-irods-repository/stargazers,https://api.github.com/repos/irods/renci-irods-repository/contributors,https://api.github.com/repos/irods/renci-irods-repository/commits,"05 June, 2023"
irods_client_icommands,irods,FALSE,FALSE,FALSE,2016-03-25T17:32:43Z,28,17,12,12,https://api.github.com/repos/irods/irods_client_icommands/stargazers,https://api.github.com/repos/irods/irods_client_icommands/contributors,https://api.github.com/repos/irods/irods_client_icommands/commits,"05 June, 2023"
irods_client_fuse,irods,FALSE,FALSE,TRUE,2016-03-27T22:17:41Z,6,0,8,8,https://api.github.com/repos/irods/irods_client_fuse/stargazers,https://api.github.com/repos/irods/irods_client_fuse/contributors,https://api.github.com/repos/irods/irods_client_fuse/commits,"05 June, 2023"
irods_rule_engine_plugin_audit_amqp,irods,FALSE,FALSE,FALSE,2016-04-18T22:49:31Z,13,18,2,2,https://api.github.com/repos/irods/irods_rule_engine_plugin_audit_amqp/stargazers,https://api.github.com/repos/irods/irods_rule_engine_plugin_audit_amqp/contributors,https://api.github.com/repos/irods/irods_rule_engine_plugin_audit_amqp/commits,"05 June, 2023"
qpid,irods,FALSE,TRUE,FALSE,2016-04-22T16:07:15Z,0,0,0,0,https://api.github.com/repos/irods/qpid/stargazers,https://api.github.com/repos/irods/qpid/contributors,https://api.github.com/repos/irods/qpid/commits,"05 June, 2023"
qpid-proton,irods,FALSE,TRUE,FALSE,2016-05-14T02:51:24Z,1,0,0,0,https://api.github.com/repos/irods/qpid-proton/stargazers,https://api.github.com/repos/irods/qpid-proton/contributors,https://api.github.com/repos/irods/qpid-proton/commits,"05 June, 2023"
irods_training,irods,FALSE,FALSE,FALSE,2016-05-31T15:05:13Z,15,3,15,15,https://api.github.com/repos/irods/irods_training/stargazers,https://api.github.com/repos/irods/irods_training/contributors,https://api.github.com/repos/irods/irods_training/commits,"05 June, 2023"
irods_resource_plugin_mso,irods,FALSE,FALSE,FALSE,2016-08-24T18:48:40Z,0,0,0,0,https://api.github.com/repos/irods/irods_resource_plugin_mso/stargazers,https://api.github.com/repos/irods/irods_resource_plugin_mso/contributors,https://api.github.com/repos/irods/irods_resource_plugin_mso/commits,"05 June, 2023"
ImageMagick,irods,FALSE,TRUE,FALSE,2016-10-04T02:51:00Z,0,0,0,0,https://api.github.com/repos/irods/ImageMagick/stargazers,https://api.github.com/repos/irods/ImageMagick/contributors,https://api.github.com/repos/irods/ImageMagick/commits,"05 June, 2023"
irods_docs,irods,FALSE,FALSE,FALSE,2016-10-22T17:51:59Z,15,28,3,3,https://api.github.com/repos/irods/irods_docs/stargazers,https://api.github.com/repos/irods/irods_docs/contributors,https://api.github.com/repos/irods/irods_docs/commits,"05 June, 2023"
irods.org,irods,FALSE,FALSE,FALSE,2016-12-05T18:39:30Z,9,2,2,2,https://api.github.com/repos/irods/irods.org/stargazers,https://api.github.com/repos/irods/irods.org/contributors,https://api.github.com/repos/irods/irods.org/commits,"05 June, 2023"
irods_api_plugin_multipart,irods,FALSE,FALSE,FALSE,2016-12-07T19:02:45Z,1,8,1,1,https://api.github.com/repos/irods/irods_api_plugin_multipart/stargazers,https://api.github.com/repos/irods/irods_api_plugin_multipart/contributors,https://api.github.com/repos/irods/irods_api_plugin_multipart/commits,"05 June, 2023"
irods_api_plugin_adapter,irods,FALSE,FALSE,FALSE,2016-12-07T21:01:15Z,0,2,2,2,https://api.github.com/repos/irods/irods_api_plugin_adapter/stargazers,https://api.github.com/repos/irods/irods_api_plugin_adapter/contributors,https://api.github.com/repos/irods/irods_api_plugin_adapter/commits,"05 June, 2023"
irods_client_library_r_cpp,irods,FALSE,FALSE,TRUE,2017-02-14T14:31:54Z,8,0,7,7,https://api.github.com/repos/irods/irods_client_library_r_cpp/stargazers,https://api.github.com/repos/irods/irods_client_library_r_cpp/contributors,https://api.github.com/repos/irods/irods_client_library_r_cpp/commits,"05 June, 2023"
CpperoMQ,irods,FALSE,TRUE,FALSE,2017-02-16T17:16:38Z,0,0,0,0,https://api.github.com/repos/irods/CpperoMQ/stargazers,https://api.github.com/repos/irods/CpperoMQ/contributors,https://api.github.com/repos/irods/CpperoMQ/commits,"05 June, 2023"
irods_testing_jargon,irods,FALSE,FALSE,FALSE,2017-04-10T20:10:52Z,1,0,0,0,https://api.github.com/repos/irods/irods_testing_jargon/stargazers,https://api.github.com/repos/irods/irods_testing_jargon/contributors,https://api.github.com/repos/irods/irods_testing_jargon/commits,"05 June, 2023"
irods_schema_metadata_templates,irods,FALSE,FALSE,FALSE,2017-05-15T15:45:08Z,0,0,2,2,https://api.github.com/repos/irods/irods_schema_metadata_templates/stargazers,https://api.github.com/repos/irods/irods_schema_metadata_templates/contributors,https://api.github.com/repos/irods/irods_schema_metadata_templates/commits,"05 June, 2023"
irods_testing_baton,irods,FALSE,FALSE,FALSE,2017-07-20T18:46:09Z,0,0,0,0,https://api.github.com/repos/irods/irods_testing_baton/stargazers,https://api.github.com/repos/irods/irods_testing_baton/contributors,https://api.github.com/repos/irods/irods_testing_baton/commits,"05 June, 2023"
irods_python_ci_utilities,irods,FALSE,FALSE,FALSE,2017-07-31T19:24:45Z,7,4,1,1,https://api.github.com/repos/irods/irods_python_ci_utilities/stargazers,https://api.github.com/repos/irods/irods_python_ci_utilities/contributors,https://api.github.com/repos/irods/irods_python_ci_utilities/commits,"05 June, 2023"
irods_capability_storage_tiering,irods,FALSE,FALSE,FALSE,2017-09-05T15:40:04Z,9,21,5,5,https://api.github.com/repos/irods/irods_capability_storage_tiering/stargazers,https://api.github.com/repos/irods/irods_capability_storage_tiering/contributors,https://api.github.com/repos/irods/irods_capability_storage_tiering/commits,"05 June, 2023"
irods_database_plugin_cockroachdb,irods,FALSE,FALSE,FALSE,2017-09-08T12:42:41Z,2,6,0,0,https://api.github.com/repos/irods/irods_database_plugin_cockroachdb/stargazers,https://api.github.com/repos/irods/irods_database_plugin_cockroachdb/contributors,https://api.github.com/repos/irods/irods_database_plugin_cockroachdb/commits,"05 June, 2023"
irods_sc17,irods,FALSE,FALSE,TRUE,2017-11-09T15:07:40Z,0,0,0,0,https://api.github.com/repos/irods/irods_sc17/stargazers,https://api.github.com/repos/irods/irods_sc17/contributors,https://api.github.com/repos/irods/irods_sc17/commits,"05 June, 2023"
irods_rfcs,irods,FALSE,FALSE,FALSE,2017-12-13T13:50:24Z,2,0,2,2,https://api.github.com/repos/irods/irods_rfcs/stargazers,https://api.github.com/repos/irods/irods_rfcs/contributors,https://api.github.com/repos/irods/irods_rfcs/commits,"05 June, 2023"
json,irods,FALSE,TRUE,FALSE,2018-01-10T17:16:07Z,0,0,0,0,https://api.github.com/repos/irods/json/stargazers,https://api.github.com/repos/irods/json/contributors,https://api.github.com/repos/irods/json/commits,"05 June, 2023"
